Project title,Country,City,Environment,Line name,Description,Status,Start planning,Start Construction,End Year,Length (Miles),Number of Stations,Type of project,Type of Line,Tunnelling method,Tunnel percentage,Elevated percentage,Source,Cost (m),Currency,Year,Converted to mil GBP,CPI adjusted (mil GBP),Cost per mile (mil GBP),Source 1,Source 2
Broadway,Canada,Vancouver,Urban,Millenium,Extension of existing millennium line to add in 6 new stations. Vancouver has completely driverless trains,In construction,2018,2020,2025,3.54,6,Line extension,Medium-capacity rapid transit,Tunnel Boring Machine,88%,5%,Database,2830,CAD,2018,1637,1966,555,https://transitcosts.com/vancouver-broadway-2/,
Vaughan,Canada,Toronto,Urban,Line 1,Extension of existing line to a new terminus,Complete,2005,2009,2017,5.34,6,Line extension,Metro/Underground,Tunnel Boring Machine,100%,0%,Database,3200,CAD,2013,1985,2566,480,https://transitcosts.com/toronto-vaughan/,
Scarborough,Canada,Toronto,Urban,Line 2,Will extend existing subway to the city of Scarborough,In construction,2020,2023,2030,4.84,3,Line extension,Metro/Underground,Tunnel Boring Machine,100%,0%,Database,5500,CAD,2018,3180,3821,789,https://transitcosts.com/toronto-scarborough-2/,
Ontario,Canada,Toronto,Urban,Ontario Line,New line through the centre of Toronto,In construction,2019,2022,2031,9.63,15,New Line,Metro/Underground,Tunnel Boring Machine,57%,37%,Database,19000,CAD,2022,11820,12884,1338,https://transitcosts.com/toronto-ontario-2/,https://www.thestar.com/news/gta/2022/11/23/ontario-line-costs-nearly-double-after-awarding-of-latest-contracts.html
Yonge to Richmond Hill,Canada,Toronto,Urban,Line 1,Extending an existing line to new suburbs,In construction,2021,2023,2030,4.60,6,Line extension,Metro/Underground,Tunnel Boring Machine,100%,0%,Database,5600,CAD,2020,3256,3778,822,https://transitcosts.com/toronto-yonge-to-richmond-hill-2/,
U-Link,US,Seattle,Urban,University Link,New tunnel that carries light rail line through the centre of Seattle,Complete,2004,2009,2016,3.17,2,Line extension,Light Rail,Tunnel Boring Machine,100%,0%,Database,1756,USD,2012,1108,1468,463,https://transitcosts.com/seattle-u-link/,
Purple Phase 3,US,Los Angeles,Urban,D Line,Third phase of extension of existing line,In construction,2012,2020,2027,2.61,2,Line extension,Metro/Underground,Tunnel Boring Machine,100%,0%,Database,3600,USD,2023,2919,2919,1119,https://transitcosts.com/losangeles-purple-phase-3-2/,
Purple Phase 2,US,Los Angeles,Urban,D Line,Second phase of line extension,In construction,2012,2018,2026,2.61,2,Line extension,Metro/Underground,Tunnel Boring Machine,100%,0%,Database,2400,USD,2021,1745,2006,769,https://transitcosts.com/losangeles-purple-phase-2-2/,
Purple Phase 1,US,Los Angeles,Urban,D Line,First phase of line extension,In construction,2012,2014,2024,3.91,3,Line extension,Metro/Underground,Tunnel Boring Machine,100%,0%,Database,2800,USD,2018,2097,2520,644,https://transitcosts.com/losangeles-purple-phase-1-2/,
Regional Connector,US,Los Angeles,Urban,A and E Line,Connection of two existing lines,Complete,2006,2014,2022,1.93,3,Line extension,Light Rail,Tunnel Boring Machine,100%,0%,Database,1756,USD,2018,1315,1580,821,https://transitcosts.com/losangeles-regional-connector-2/,
